"Country","iso3","year","pop.e5","excess.mean","excess.low","excess.high"
"Afghanistan","AFG","2020-2021",393.818845,57,18,96
"Albania","ALB","2020-2021",28.75367,221,201,238
"Algeria","DZA","2020-2021",442.338345,79,57,103
"Andorra","AND","2020-2021",0.773095,242,137,357
"Angola","AGO","2020-2021",333.999395,34,-4,75
"Antigua and Barbuda","ATG","2020-2021",0.98328,-15,-94,69
"Argentina","ARG","2020-2021",454.008,99,69,131
"Armenia","ARM","2020-2021",29.65681,332,321,342
"Australia","AUS","2020-2021",256.44049,-28,-35,-20
"Austria","AUT","2020-2021",90.24736,66,56,76
"Azerbaijan","AZE","2020-2021",101.812595,280,267,292
"Bahamas","BHS","2020-2021",3.95081,127,73,180
"Bahrain","BHR","2020-2021",17.24939,19,0,39
"Bangladesh","BGD","2020-2021",1654.964385,43,15,72
"Barbados","BRB","2020-2021",2.875395,-62,-109,-7
"Belarus","BLR","2020-2021",94.46094,259,200,326
"Belgium","BEL","2020-2021",116.10975,77,66,88
"Belize","BLZ","2020-2021",4.01268,87,41,137
"Benin","BEN","2020-2021",122.871145,48,4,97
"Bhutan","BTN","2020-2021",7.75756,-26,-61,10
"Bolivia (Plurinational State of)","BOL","2020-2021",117.529825,375,370,379
"Bosnia and Herzegovina","BIH","2020-2021",32.72137,240,219,260
"Botswana","BWA","2020-2021",23.744325,156,100,212
"Brazil","BRA","2020-2021",2132.76425,160,157,163
"Brunei Darussalam","BRN","2020-2021",4.395075,-13,-59,34
"Bulgaria","BGR","2020-2021",69.2255,415,399,432
"Burkina Faso","BFA","2020-2021",212.001875,52,11,94
"Burundi","BDI","2020-2021",120.73105,39,-3,79
"Cabo Verde","CPV","2020-2021",5.589445,83,43,120
"Cambodia","KHM","2020-2021",168.327085,37,3,71
"Cameroon","CMR","2020-2021",268.85063,66,22,110
"Canada","CAN","2020-2021",379.05035,29,11,48
"Central African Republic","CAF","2020-2021",48.748755,64,-3,135
"Chad","TCD","2020-2021",166.70422,58,5,113
"Chile","CHL","2020-2021",191.642855,101,97,105
"China","CHN","2020-2021",14499.486985,-2,-2,-1
"Colombia","COL","2020-2021",510.743625,161,159,163
"Comoros","COM","2020-2021",8.790255,41,8,76
"Congo","COG","2020-2021",55.875545,41,5,80
"Cook Islands","COK","2020-2021",0.17568,-102,-214,6
"Costa Rica","CRI","2020-2021",51.165835,94,61,131
"C̫te d'Ivoire","CIV","2020-2021",267.15952,48,7,91
"Croatia","HRV","2020-2021",40.934625,210,194,224
"Cuba","CUB","2020-2021",113.22057,80,25,141
"Cyprus","CYP","2020-2021",12.114745,42,31,51
"Czechia","CZE","2020-2021",107.167675,173,161,185
"Democratic People's Republic of Korea","PRK","2020-2021",258.3293,-14,-69,44
"Democratic Republic of the Congo","COD","2020-2021",909.69695,65,16,112
"Denmark","DNK","2020-2021",58.027525,32,22,41
"Djibouti","DJI","2020-2021",9.950995,89,44,136
"Dominica","DMA","2020-2021",0.720815,10,-68,94
"Dominican Republic","DOM","2020-2021",109.00809,54,17,94
"Ecuador","ECU","2020-2021",177.65767,228,222,234
"Egypt","EGY","2020-2021",1032.96365,122,108,136
"El Salvador","SLV","2020-2021",65.023505,131,75,194
"Equatorial Guinea","GNQ","2020-2021",14.26438,60,16,106
"Eritrea","ERI","2020-2021",35.739445,34,-9,76
"Estonia","EST","2020-2021",13.258635,127,114,141
"Eswatini","SWZ","2020-2021",11.662665,164,98,231
"Ethiopia","ETH","2020-2021",1164.199045,44,12,76
"Fiji","FJI","2020-2021",8.996715,-6,-55,45
"Finland","FIN","2020-2021",55.445395,26,18,33
"France","FRA","2020-2021",653.498445,63,53,71
"Gabon","GAB","2020-2021",22.522785,36,0,71
"Gambia","GMB","2020-2021",24.518005,59,23,97
"Georgia","GEO","2020-2021",39.84474,307,246,380
"Germany","DEU","2020-2021",838.42208,116,96,137
"Ghana","GHA","2020-2021",314.025365,33,0,66
"Greece","GRC","2020-2021",103.969015,93,80,106
"Grenada","GRD","2020-2021",1.12767,-118,-235,22
"Guatemala","GTM","2020-2021",180.827175,137,133,140
"Guinea","GIN","2020-2021",133.150145,47,0,97
"Guinea-Bissau","GNB","2020-2021",19.91744,71,20,120
"Guyana","GUY","2020-2021",7.88444,178,108,251
"Haiti","HTI","2020-2021",114.72108,42,-80,159
"Honduras","HND","2020-2021",99.83801,113,74,154
"Hungary","HUN","2020-2021",96.47256,189,174,204
"Iceland","ISL","2020-2021",3.42305,-2,-9,7
"India","IND","2020-2021",13867.06709,171,119,234
"Indonesia","IDN","2020-2021",2749.427045,187,137,234
"Iran (Islamic Republic of)","IRN","2020-2021",845.108565,137,133,142
"Iraq","IRQ","2020-2021",407.00927,82,60,106
"Ireland","IRL","2020-2021",49.6035,29,23,36
"Israel","ISR","2020-2021",87.226585,35,30,40
"Italy","ITA","2020-2021",604.146495,133,121,146
"Jamaica","JAM","2020-2021",29.673115,61,19,108
"Japan","JPN","2020-2021",1262.63627,-8,-14,-2
"Jordan","JOR","2020-2021",102.36081,58,40,78
"Kazakhstan","KAZ","2020-2021",188.858325,202,195,208
"Kenya","KEN","2020-2021",543.78501,11,10,12
"Kiribati","KIR","2020-2021",1.20417,-19,-96,63
"Kuwait","KWT","2020-2021",42.99558,49,36,63
"Kyrgyzstan","KGZ","2020-2021",65.76269,94,87,100
"Lao People's Democratic Republic","LAO","2020-2021",73.27457,12,-20,47
"Latvia","LVA","2020-2021",18.76568,204,186,223
"Lebanon","LBN","2020-2021",67.972965,136,127,146
"Lesotho","LSO","2020-2021",21.506595,93,0,188
"Liberia","LBR","2020-2021",51.189425,39,-4,87
"Libya","LBY","2020-2021",69.149125,57,31,83
"Lithuania","LTU","2020-2021",27.060765,319,304,335
"Luxembourg","LUX","2020-2021",6.30395,6,-4,15
"Madagascar","MDG","2020-2021",280.59176,46,6,90
"Malawi","MWI","2020-2021",193.88818,44,12,77
"Malaysia","MYS","2020-2021",325.710965,12,-4,28
"Maldives","MDV","2020-2021",5.42081,23,9,38
"Mali","MLI","2020-2021",205.53279,66,23,112
"Malta","MLT","2020-2021",4.421645,54,39,68
"Marshall Islands","MHL","2020-2021",0.59406,-67,-122,-4
"Mauritania","MRT","2020-2021",47.12385,74,38,113
"Mauritius","MUS","2020-2021",12.725975,37,28,46
"Mexico","MEX","2020-2021",1295.974865,242,236,247
"Micronesia (Federated States of)","FSM","2020-2021",1.15638,-48,-110,19
"Monaco","MCO","2020-2021",0.39382,81,23,138
"Mongolia","MNG","2020-2021",33.03787,0,-6,6
"Montenegro","MNE","2020-2021",6.280565,311,269,356
"Morocco","MAR","2020-2021",371.276725,47,6,88
"Mozambique","MOZ","2020-2021",317.0924,67,19,123
"Myanmar","MMR","2020-2021",546.07904,40,0,80
"Namibia","NAM","2020-2021",25.6413,151,104,203
"Nauru","NRU","2020-2021",0.108535,-7,-114,95
"Nepal","NPL","2020-2021",294.05864,55,21,92
"Netherlands","NLD","2020-2021",171.539835,85,77,93
"New Zealand","NZL","2020-2021",48.414375,-28,-33,-23
"Nicaragua","NIC","2020-2021",66.634665,91,61,124
"Niger","NER","2020-2021",246.68723,70,21,117
"Nigeria","NGA","2020-2021",2087.701455,45,-2,94
"Niue","NIU","2020-2021",0.01616,-154,-468,203
"North Macedonia","MKD","2020-2021",20.83021,369,351,385
"Norway","NOR","2020-2021",54.434355,-1,-6,5
"Oman","OMN","2020-2021",51.64999,111,106,116
"Pakistan","PAK","2020-2021",2230.4613,52,10,96
"Palau","PLW","2020-2021",0.18133,-111,-231,18
"Panama","PAN","2020-2021",43.481755,88,79,98
"Papua New Guinea","PNG","2020-2021",90.33016,4,-32,44
"Paraguay","PRY","2020-2021",71.760855,138,132,144
"Peru","PER","2020-2021",331.65631,437,431,442
"Philippines","PHL","2020-2021",1103.139975,84,75,94
"Poland","POL","2020-2021",378.218025,208,198,217
"Portugal","PRT","2020-2021",101.82315,100,84,116
"Qatar","QAT","2020-2021",29.05792,26,25,28
"Republic of Korea","KOR","2020-2021",512.871835,6,1,11
"Republic of Moldova","MDA","2020-2021",40.28994,225,211,241
"Romania","ROU","2020-2021",191.82727,279,264,292
"Russian Federation","RUS","2020-2021",1459.23241,367,359,377
"Rwanda","RWA","2020-2021",131.14363,21,-6,50
"Saint Kitts and Nevis","KNA","2020-2021",0.53369,-194,-353,23
"Saint Lucia","LCA","2020-2021",1.84015,101,36,165
"Saint Vincent and the Grenadines","VCT","2020-2021",1.11108,222,71,405
"Samoa","WSM","2020-2021",1.99277,-22,-62,18
"San Marino","SMR","2020-2021",0.33974,251,221,280
"Sao Tome and Principe","STP","2020-2021",2.212625,43,10,78
"Saudi Arabia","SAU","2020-2021",350.772735,25,-1,51
"Senegal","SEN","2020-2021",169.70119,49,20,79
"Serbia","SRB","2020-2021",87.174585,319,302,336
"Seychelles","SYC","2020-2021",0.98625,4,-58,70
"Sierra Leone","SLE","2020-2021",80.59164,49,3,98
"Singapore","SGP","2020-2021",58.735135,13,9,16
"Slovakia","SVK","2020-2021",54.601845,223,212,233
"Slovenia","SVN","2020-2021",20.788275,134,119,150
"Solomon Islands","SLB","2020-2021",6.954365,-4,-46,37
"Somalia","SOM","2020-2021",161.263595,110,47,175
"South Africa","ZAF","2020-2021",596.75343,200,194,206
"South Sudan","SSD","2020-2021",112.87553,41,-2,86
"Spain","ESP","2020-2021",467.49997,111,101,121
"Sri Lanka","LKA","2020-2021",214.55278,-21,-56,15
"Sudan","SDN","2020-2021",443.7931,43,11,75
"Suriname","SUR","2020-2021",5.89216,62,48,78
"Sweden","SWE","2020-2021",101.297145,56,49,63
"Switzerland","CHE","2020-2021",86.85056,47,40,56
"Syrian Arab Republic","SYR","2020-2021",178.881805,20,-17,56
"Tajikistan","TJK","2020-2021",96.436335,67,41,97
"Thailand","THA","2020-2021",698.75411,11,1,21
"The United Kingdom","GBR","2020-2021",680.46559,109,98,121
"Timor-Leste","TLS","2020-2021",13.311585,26,-11,62
"Togo","TGO","2020-2021",83.784895,-42,-44,-39
"Tonga","TON","2020-2021",1.06228,-17,-61,28
"Trinidad and Tobago","TTO","2020-2021",14.014325,72,29,119
"Tunisia","TUN","2020-2021",118.77191,100,66,135
"Turkey","TUR","2020-2021",846.909015,156,140,175
"Turkmenistan","TKM","2020-2021",60.7456,5,-31,42
"Tuvalu","TUV","2020-2021",0.118585,-46,-168,81
"Uganda","UGA","2020-2021",464.322665,22,-5,51
"Ukraine","UKR","2020-2021",436.002905,227,213,241
"United Arab Emirates","ARE","2020-2021",99.407415,12,-2,26
"United Republic of Tanzania","TZA","2020-2021",606.163255,33,1,66
"United States of America","USA","2020-2021",3319.588605,140,134,147
"Uruguay","URY","2020-2021",34.794395,45,34,55
"Uzbekistan","UZB","2020-2021",337.02482,67,54,79
"Vanuatu","VUT","2020-2021",3.10807,-12,-56,32
"Venezuela (Bolivarian Republic of)","VEN","2020-2021",285.70445,39,1,78
"Viet Nam","VNM","2020-2021",977.53706,-3,-99,114
"Yemen","YEM","2020-2021",301.583035,56,19,99
"Zambia","ZMB","2020-2021",186.523065,63,25,103
"Zimbabwe","ZWE","2020-2021",149.77549,62,18,109
